날짜,종가,전일비,시가,고가,저가,거래량
2026.08.05,9540.0,525.0,9630.0,9640.0,9345.0,109620.0
2026.08.04,9015.0,780.0,8690.0,9020.0,8555.0,61114.0
2026.08.03,8235.0,-55.0,8210.0,8370.0,8200.0,7709.0
2026.07.31,8290.0,1375.0,8245.0,8315.0,8065.0,24381.0
2026.07.30,6915.0,-385.0,6925.0,7190.0,6825.0,50761.0
2026.07.29,7300.0,-640.0,7580.0,7615.0,7060.0,34685.0
2026.07.28,7940.0,-935.0,8300.0,8300.0,7865.0,32244.0
2026.07.27,8875.0,-340.0,9215.0,9215.0,8720.0,49849.0
2026.07.24,9215.0,-200.0,9415.0,9415.0,9140.0,48351.0
2026.07.23,9415.0,155.0,9375.0,9540.0,9310.0,66937.0
2026.07.22,9260.0,240.0,9590.0,9730.0,9255.0,108751.0
2026.07.21,9020.0,515.0,8650.0,9020.0,8650.0,22688.0
2026.07.20,8505.0,-710.0,8665.0,8760.0,8505.0,42491.0
2026.07.16,9215.0,-865.0,9400.0,9400.0,9120.0,130382.0
2026.07.15,10080.0,555.0,9980.0,10135.0,9950.0,184786.0
2026.07.14,9525.0,-465.0,9440.0,9530.0,9185.0,91596.0
